gen,child,eps,Rg,err
11,1,[1.634321 1.024379 1.290153 3.575765 0.446702 1.027964 1.071463 1.273184 1.377629 0.773423 2.726816 1.389818 0.957457 1.964866 0.435946],26.016780,9.983220
11,2,[2.165392 0.704111 1.577677 2.888623 0.626912 1.132409 1.289197 1.741874 0.580784 0.346080 3.693595 2.606597 1.110660 2.207457 0.406549],24.646952,11.353048
11,3,[2.142925 1.090583 0.215105 2.640774 1.363289 0.960086 0.125478 1.423996 0.283461 1.525813 3.792304 2.401769 1.161329 1.218212 0.863528],23.901051,12.098949
11,4,[1.658939 1.337954 1.857553 3.154876 0.395793 1.891730 1.035612 1.516252 0.642925 0.131453 3.361138 2.613528 0.405593 2.238050 0.212715],21.154263,14.845737
11,5,[2.449092 1.191683 0.814293 1.989006 0.393881 0.990679 0.929015 2.276769 0.554493 0.686424 2.497371 1.162046 1.143642 2.278442 0.993069],24.367686,11.632314
11,6,[2.114245 0.811185 0.663241 2.016969 0.859943 2.576482 0.701482 1.006214 0.487572 0.191205 4.122849 2.183795 1.604685 2.059990 1.202677],17.919422,18.080578
11,7,[1.361138 1.368308 0.723948 3.057839 0.948853 1.284417 0.162524 0.430210 0.410612 0.490679 3.608987 1.484465 0.395793 2.566205 1.134082],31.122330,4.877670
11,8,[1.598709 1.051864 1.457457 2.349904 0.183317 1.657266 0.971319 1.286568 1.011233 0.935468 3.788241 1.837715 0.119503 1.161807 0.911090],24.195825,11.804175
11,9,[2.782505 0.902008 0.990679 2.592495 1.153203 1.629063 0.290631 1.326243 0.857553 0.125478 4.122849 2.333413 1.136472 1.784656 1.099904],25.367431,10.632569
11,10,[1.891730 1.316444 0.887667 3.187380 0.457457 0.784895 1.174235 2.271033 0.484226 0.250956 3.448375 1.983270 1.038719 1.380019 0.208652],24.216227,11.783773
11,11,[2.404159 1.558317 0.768642 3.290631 1.113289 1.016730 0.575765 2.041348 0.125478 0.985182 3.113767 1.322419 1.262428 1.976099 0.781788],19.453022,16.546978
11,12,[2.238050 0.887189 0.875000 2.697419 0.762428 1.087715 1.025813 1.105880 0.844168 0.738289 3.448375 1.346080 0.381214 1.546367 1.779159],25.592813,10.407187
12,1,[1.588671 0.520793 1.617591 3.608987 1.024140 1.184034 1.417782 0.543977 0.367591 0.902964 3.154876 1.221319 0.611855 2.095841 0.782505],21.985211,14.014789
12,2,[2.399379 1.516969 1.711520 1.724426 1.671845 1.304732 0.131453 1.278203 0.119503 0.820985 3.568117 1.965822 0.362333 2.755975 1.463671],24.534760,11.465240
12,3,[1.686663 1.227055 0.962715 3.257648 0.995459 1.773184 0.387189 0.657744 0.401052 1.571941 4.122849 1.781071 0.617591 1.888623 1.016730],24.484755,11.515245
12,4,[1.553298 1.472992 0.691683 2.782505 1.219646 0.716778 0.502390 0.892447 1.195985 0.845602 3.693595 0.831262 0.842256 2.310229 0.636472],24.729161,11.270839
12,5,[1.050430 1.428776 0.641013 3.361138 0.473709 2.076004 0.573614 1.095124 1.221558 0.445029 3.361138 2.475860 0.406549 2.247132 0.488767],20.776001,15.223999
12,6,[1.806883 1.292782 0.657744 2.844407 0.817400 0.788719 0.915631 1.007648 1.546367 1.055927 3.154876 1.688815 1.483031 1.450048 0.899379],27.056356,8.943644
12,7,[2.488528 0.299235 1.288719 2.782505 2.015296 1.241635 0.685229 1.364723 0.910612 1.216539 3.575765 2.250239 0.470602 1.218929 1.104924],20.327138,15.672862
12,8,[1.716539 0.363767 0.895076 3.134321 1.072658 0.761233 0.573136 0.885277 0.686424 0.393881 3.187380 1.308795 0.337954 1.889340 1.638384],27.363682,8.636318
12,9,[1.786807 1.636233 0.421845 3.187380 0.242113 0.446702 0.625000 0.349665 0.665392 0.507409 3.423279 0.612333 0.976577 1.744503 1.109704],23.312326,12.687674
12,10,[2.170889 0.768642 1.630497 3.575765 1.225143 0.872371 0.131453 0.430449 1.159895 0.119503 4.168260 1.446224 0.366635 2.472753 0.654159],23.517303,12.482697
12,11,[2.066922 0.775335 1.198614 2.915392 0.249044 0.709130 0.677581 0.716778 0.969168 0.402486 3.918499 1.005736 1.167543 1.377629 1.327438],25.110690,10.889310
12,12,[1.591300 0.638623 0.800191 2.629541 0.395793 1.175908 0.866874 0.995459 0.977294 0.673040 3.918499 1.053298 1.015057 1.224665 0.408461],30.417212,5.582788
13,1,[1.788002 1.005975 0.150574 2.905593 1.280593 1.222275 0.379063 0.858987 1.011233 0.430210 3.792304 1.259560 0.694551 2.704828 1.512906],20.560547,15.439453
13,2,[1.830784 0.169694 1.277964 3.304015 0.581023 1.410851 0.427820 1.236616 0.884321 0.590583 2.945029 1.962715 1.106358 0.479207 1.167782],22.630240,13.369760
13,3,[1.909656 0.563098 0.131453 2.766969 0.131453 1.013623 1.197180 0.832696 0.981597 0.853250 3.716300 1.287285 1.774379 1.367591 0.585086],22.935637,13.064363
13,4,[1.128346 0.486616 1.294455 2.782505 0.612333 0.479207 0.465822 0.256214 0.508365 1.027008 3.792304 0.370220 0.749761 1.805449 0.953872],22.226819,13.773181
13,5,[2.497371 0.673040 1.102055 2.283222 0.571463 1.087954 0.219885 0.679254 0.898184 0.305688 3.568117 0.661807 0.574570 1.255975 1.205784],22.860072,13.139928
13,6,[1.231597 1.039914 1.051625 2.671367 0.663719 0.571463 1.329350 0.446702 1.275096 0.539197 3.933317 1.522945 0.648901 1.466778 0.810229],26.526074,9.473926
13,7,[1.253585 0.827438 0.984226 3.315488 0.948136 0.700287 0.588910 0.993069 0.902008 0.619981 4.600143 1.451721 0.633604 1.598709 0.950526],21.499439,14.500561
13,8,[2.475860 0.574092 0.177103 2.566205 0.739962 0.706023 0.270076 0.501195 0.529876 1.032744 2.216061 0.921367 0.231119 2.229924 1.063815],24.265851,11.734149
13,9,[1.731358 0.332696 1.317400 2.395554 0.318356 1.638384 0.967256 1.362572 1.127629 1.418738 3.423279 0.325048 0.131453 1.913480 1.141969],23.297547,12.702453
13,10,[2.114245 1.372610 1.750717 3.154876 0.702677 0.693834 0.322419 0.488767 2.048996 0.212237 2.969407 1.776052 0.161329 1.157983 1.200048],24.424814,11.575186
13,11,[2.015296 0.517447 0.125478 2.566205 0.164436 0.612333 0.519120 1.152008 1.293738 0.488767 3.575765 0.701004 1.114723 1.551147 1.188815],25.501287,10.498713
13,12,[1.677103 0.476816 0.655832 3.277008 0.714627 1.368308 0.763384 0.541826 0.659895 1.419694 2.782505 1.248805 0.850621 1.146033 1.298757],24.907341,11.092659
14,1,[2.470363 0.286807 1.857314 3.247371 0.131453 1.281788 0.749044 0.491396 1.181644 0.991396 3.448375 2.124761 0.778681 1.356597 0.865440],21.609191,14.390809
14,2,[2.705067 0.529876 1.160373 3.247371 0.875000 1.490918 1.216061 0.751195 1.512428 0.233509 3.247371 1.367113 0.359226 0.125478 1.396511],20.817750,15.182250
14,3,[1.759560 1.352294 0.511233 2.782505 0.999044 0.682839 1.407027 0.844646 1.136472 0.977294 3.716300 1.022945 0.523901 2.023901 0.675191],25.186486,10.813514
14,4,[1.006931 0.835803 0.758365 2.850621 0.215105 0.208652 1.188337 0.716778 1.184990 0.178776 4.363289 1.317400 0.172084 0.630497 0.809751],27.672224,8.327776
14,5,[1.640296 1.016252 0.427820 2.332218 0.131453 1.348470 0.874044 0.468690 0.798040 0.826004 2.526291 1.183078 0.832696 2.025574 0.401052],29.592307,6.407693
14,6,[1.710564 0.991396 0.821224 3.154876 0.471797 0.755497 0.625000 0.363767 1.517447 0.450765 3.788241 1.084130 0.716778 1.125717 1.103250],23.314621,12.685379
14,7,[1.711520 0.838432 1.532266 1.956262 0.164436 0.609704 0.203155 0.959130 0.832696 0.837715 3.057839 1.387667 0.656310 0.960564 0.894359],27.132636,8.867364
14,8,[2.010038 1.274618 0.367591 2.638384 0.887667 0.310707 1.065488 0.761472 1.097514 0.594168 4.600143 1.011233 0.233270 1.485660 1.701243],30.622970,5.377030
14,9,[1.486377 0.852294 1.096558 2.671367 0.638145 1.007409 0.903920 0.781071 1.703872 0.826960 3.448375 0.896033 0.929254 1.359943 1.357075],22.777080,13.222920
14,10,[2.020793 0.930688 0.157505 2.488528 0.649140 0.356119 1.207457 1.048279 1.009321 1.520793 2.483031 0.884082 0.903681 1.176386 0.804732],28.137721,7.862279
14,11,[2.204350 0.996176 1.191683 2.340583 0.306166 0.131453 0.990679 0.564532 1.839866 1.315249 3.013145 1.070029 0.962476 1.073375 0.737572],24.626755,11.373245
14,12,[1.663480 0.865440 0.254780 2.945029 1.110899 0.934751 0.211042 0.155354 1.056883 0.970363 3.788241 1.072658 0.867352 1.010516 0.502390],29.644748,6.355252
15,1,[1.732314 0.979924 0.753107 2.650335 0.759560 0.175908 1.067400 0.589149 1.146033 1.310229 3.788241 0.646989 1.002868 1.053298 0.793977],24.435643,11.564357
15,2,[1.773184 1.414436 0.912763 3.013145 1.512428 0.370459 0.275813 0.367591 0.996654 0.913241 3.788241 1.414436 1.072658 1.165392 1.101577],26.277740,9.722260
15,3,[1.410851 1.938576 0.486616 2.844407 0.211042 1.110421 1.259560 0.572419 1.559512 0.628585 3.257648 1.564771 0.725860 1.072419 0.914436],23.769946,12.230054
15,4,[1.193117 1.150813 0.362811 2.111855 0.198375 0.901052 0.571463 0.296367 0.590583 1.036807 3.693595 0.893164 0.279637 0.601816 0.767208],30.080540,5.919460
15,5,[1.897706 1.427342 0.131453 2.541348 0.305927 1.366635 1.809273 0.253585 0.546606 0.900813 3.012906 0.666826 0.419694 1.471797 0.705067],29.450520,6.549480
15,6,[1.204589 1.286568 0.664914 2.316444 0.616635 0.992352 0.511472 0.520793 0.231119 0.586042 3.608987 1.651530 0.978489 1.784656 1.172801],25.672209,10.327791
15,7,[1.552581 1.138145 0.641013 2.844407 0.218690 0.753107 1.432122 0.716778 0.989484 0.392686 3.575765 0.856358 0.572419 1.296128 0.388384],27.440989,8.559011
15,8,[1.598709 1.790870 0.178776 3.315488 0.566444 0.507409 1.164197 1.102055 0.703155 1.072658 3.693595 0.651291 0.716778 0.936185 1.149379],25.919878,10.080122
15,9,[2.070985 0.889579 0.722514 3.105641 0.145793 0.161329 1.012667 0.609704 1.222753 0.900335 3.448375 1.750956 1.144837 0.878346 0.655832],26.699329,9.300671
15,10,[1.667782 1.867591 0.177103 2.747132 1.249283 1.124044 0.145793 0.589866 1.339627 1.068356 4.479685 1.068356 0.894359 1.531549 0.470602],22.414968,13.585032
15,11,[1.027008 1.509799 0.398662 2.396272 0.841061 0.831740 0.580067 0.949570 1.115201 1.573614 3.568117 0.344646 0.789675 1.337954 1.182122],28.134195,7.865805
15,12,[2.220602 1.442400 0.256214 2.240440 0.887667 0.737572 1.179015 0.433078 1.114484 0.860421 4.245698 0.476577 0.635038 0.802581 1.392925],25.098075,10.901925
16,1,[1.304015 1.125717 0.538002 1.830784 0.157505 1.713671 0.882409 0.173279 0.844646 1.793499 3.476577 0.175908 1.685229 1.366874 1.048279],24.462021,11.537979
16,2,[0.781071 0.874044 1.275096 2.726816 0.572419 1.506931 0.682839 0.567639 0.569073 0.556883 3.716300 0.816683 1.026530 1.001195 0.239006],26.190631,9.809369
16,3,[2.216061 1.816444 0.184990 1.929732 0.532744 0.762428 1.029637 0.393881 1.139818 0.635994 3.918499 1.364723 0.896989 0.959369 0.271750],26.257762,9.742238
16,4,[1.016730 1.750000 1.015057 2.915392 1.188815 1.828872 1.088193 0.853250 0.286807 0.696941 3.608987 1.086520 0.521750 1.150096 0.798757],22.451991,13.548009
16,5,[1.169216 1.820029 0.690488 2.049713 0.883843 1.478489 1.845841 0.608987 1.021511 0.989484 3.575765 0.696941 0.424474 0.678776 0.800191],26.493334,9.506666
16,6,[1.614006 1.800908 0.876673 1.675191 1.010994 0.506692 0.575765 0.549235 0.432839 0.696941 4.035612 0.832696 1.194073 1.250717 1.230163],26.652841,9.347159
16,7,[1.820268 1.101577 1.031310 2.407505 1.350143 1.115679 1.147467 0.482792 0.978250 0.510277 3.738050 0.803298 0.948614 0.577199 1.017447],25.102154,10.897846
16,8,[0.706023 2.218929 0.417782 2.540392 0.303537 0.781071 1.667065 0.405115 0.808078 0.909895 3.361138 0.484226 0.154159 0.867352 0.169694],26.773846,9.226154
16,9,[1.373327 1.016969 0.559273 3.608987 0.603728 1.339149 0.505497 0.325048 0.119503 0.815488 4.199570 1.727533 0.155354 0.951004 0.696224],27.444371,8.555629
16,10,[0.635755 1.298040 0.580784 2.033700 0.249283 1.628824 0.680210 0.311663 0.253585 0.249044 3.990440 0.914197 0.193117 1.583652 0.250956],29.132672,6.867328
16,11,[2.095602 1.676625 0.262906 1.815727 0.541109 0.958891 0.696941 1.322180 0.815488 1.042543 3.489484 1.263862 0.145793 1.750000 1.392925],26.573714,9.426286
16,12,[2.225860 0.739245 0.885277 3.361138 0.690488 0.666587 0.896272 0.154159 1.452916 0.583174 3.448375 1.135277 0.489962 0.905832 0.540153],24.355435,11.644565
17,1,[0.832218 1.323136 1.082457 2.470363 0.994264 0.353728 1.001195 1.024140 0.186902 0.174474 3.792304 1.688815 1.032744 1.295411 0.678059],29.444306,6.555694
17,2,[0.929493 0.707457 0.432600 2.384799 0.315249 0.941683 0.802581 0.863528 0.618308 0.145793 4.122849 0.781071 0.689771 1.556644 0.269120],22.978512,13.021488
17,3,[1.389818 1.654637 0.154159 1.965822 0.905115 1.373327 0.937620 0.145793 0.384799 0.753107 4.245698 1.415631 0.923996 1.742352 0.664914],25.520172,10.479828
17,4,[1.422084 1.685468 0.599426 2.663719 0.231119 0.755975 1.220841 1.296128 0.366635 0.990679 3.489484 1.434512 0.694073 1.821702 0.529876],25.578065,10.421935
17,5,[0.656310 1.658939 0.965105 2.398662 0.331023 1.282505 1.160612 0.548040 0.145793 0.310707 3.792304 0.382409 0.314293 1.010038 0.430210],27.628390,8.371610
17,6,[1.220363 1.405832 0.342734 2.601816 0.332696 0.925669 1.215105 0.512667 0.487572 1.114484 4.245698 0.443356 0.177103 0.981597 1.127629],27.062148,8.937852
17,7,[1.158222 1.708652 0.262906 3.113767 0.725143 0.410612 1.558078 0.868308 0.356119 0.679732 4.035612 1.694551 0.436663 2.188576 1.115918],23.093981,12.906019
17,8,[1.712476 1.000000 0.326243 1.958652 0.583174 2.168499 0.847275 0.421845 0.318356 1.153920 4.168260 0.915631 0.338671 0.910612 0.383843],23.158777,12.841223
17,9,[1.377151 1.197897 0.119503 2.483031 0.556883 0.628824 1.157983 0.883365 0.605402 1.160373 3.187380 0.947419 0.900335 0.938815 0.119503],33.902917,2.097083
17,10,[1.349665 1.533461 0.198375 2.349904 0.119503 1.287524 1.443356 0.768164 0.719407 0.245220 3.568117 0.912524 0.183556 0.359226 0.401530],25.599686,10.400314
17,11,[0.535373 1.624283 0.250956 2.229207 0.403442 1.488767 0.904637 0.783939 0.246176 0.283461 3.939054 1.196941 0.692400 1.498088 0.294694],26.460640,9.539360
17,12,[1.782505 0.987572 0.415870 2.320507 0.514101 1.345602 1.350143 1.038241 0.331023 0.420889 3.939054 1.262189 0.321463 1.019837 0.234943],23.893351,12.106649
18,1,[1.028442 1.287763 0.740918 2.905593 0.306166 0.412285 1.390774 1.829111 0.731358 0.546606 3.990440 0.875000 0.657744 1.037285 0.580067],26.957918,9.042082
18,2,[0.826960 1.056644 0.556883 2.384799 0.119503 1.042543 1.044216 0.812380 0.561902 0.994264 3.608987 0.832218 0.970602 0.852772 0.614245],23.126560,12.873440
18,3,[0.685229 1.428776 1.290870 2.183795 0.502390 0.383126 0.906310 1.059034 0.203155 0.874283 3.918499 1.038241 0.720124 0.690488 0.359226],30.412079,5.587921
18,4,[0.954589 1.291109 0.751195 2.679732 0.186902 1.561185 0.472036 1.589388 0.900813 0.273901 4.600143 1.154159 0.545889 1.620937 0.178776],31.483503,4.516497
18,5,[0.872371 1.860182 0.404876 2.704828 0.969168 1.522467 1.036090 0.285851 0.200048 0.734226 3.990440 0.592734 0.966778 1.565727 0.551386],24.906712,11.093288
18,6,[0.478250 1.633365 0.183317 1.945268 0.836042 0.630975 0.550191 0.886233 0.664436 1.127868 4.363289 0.717017 0.131453 1.786090 0.761472],16.524945,19.475055
18,7,[1.177342 1.437859 1.066444 2.361377 0.877151 1.199331 1.120698 0.891491 0.316205 0.150574 3.693595 1.235182 1.119742 0.668738 0.559034],24.403257,11.596743
18,8,[1.389579 1.128346 0.817639 3.081023 0.198375 1.744981 0.651291 0.835086 0.272228 0.367591 3.738050 1.084608 1.288958 1.048279 0.811185],24.918333,11.081667
18,9,[0.849187 2.392447 0.119503 2.133365 0.824331 0.961759 0.806883 0.681644 0.641013 0.696224 3.081023 0.821224 0.863289 1.300430 0.336998],20.598095,15.401905
18,10,[1.383843 1.885038 0.552103 2.376673 1.010994 1.222753 1.339149 1.046845 0.145793 1.154159 3.247371 0.945029 0.693834 0.829828 0.781549],32.543263,3.456737
18,11,[1.016969 1.472992 1.534417 2.014101 1.642686 0.678776 1.549713 0.780115 0.579350 0.131453 4.363289 0.619025 1.381931 1.009321 0.200048],21.885519,14.114481
18,12,[0.972992 1.036807 1.273662 2.479924 1.391969 0.178776 0.668738 1.020793 0.850621 0.630975 3.608987 0.712476 1.189532 0.862572 0.372610],29.518023,6.481977
19,1,[0.577916 1.379063 0.600860 2.733987 0.145793 1.182122 0.510516 1.755019 0.516252 0.692400 3.569312 1.587715 1.130736 0.962715 0.471797],20.041411,15.958589
19,2,[1.328155 1.824570 0.770554 2.230880 0.282027 0.509321 0.316683 0.753107 0.125478 1.584847 3.423279 0.561902 0.774379 1.111616 0.211520],23.044649,12.955351
19,3,[1.983748 1.322658 1.123805 3.247371 0.631692 0.995220 1.034656 1.185707 0.676386 0.780354 3.918499 1.557361 0.487572 1.283222 0.590822],24.927039,11.072961
19,4,[0.803776 1.614723 1.184034 2.679732 0.391730 0.953872 0.410612 2.209130 0.250956 0.425430 3.423279 0.594646 0.753107 0.999044 0.198375],23.206883,12.793117
19,5,[0.930688 1.163002 0.580784 3.154876 0.543977 1.660134 0.972275 1.033939 0.600382 1.259560 3.608987 0.937620 0.574570 1.045650 1.025096],28.509215,7.490785
19,6,[1.022228 1.128346 0.119503 2.532505 0.916587 0.516013 1.311424 0.766491 0.131453 0.891730 4.168260 1.547562 0.768164 1.333652 0.360899],28.127016,7.872984
19,7,[0.666109 1.574809 0.985182 2.261711 2.123088 1.211998 0.709130 1.286807 0.697897 0.923040 3.277008 1.241396 0.249044 0.785134 0.595602],19.863994,16.136006
19,8,[0.477294 1.280593 0.929493 1.695985 0.239006 1.065488 0.999761 0.831740 0.674235 0.723709 3.608987 1.428298 0.706023 0.437380 0.403442],24.631589,11.368411
19,9,[0.880258 1.626912 0.887667 1.900335 1.218212 0.221080 1.870698 1.590822 0.652964 0.870459 3.693595 1.771511 1.036568 0.648901 0.938815],30.071611,5.928389
19,10,[1.118547 1.038719 0.774857 2.461520 1.635277 0.455545 0.805927 1.311902 1.016969 0.785612 2.623566 1.033939 1.106836 1.250478 0.707696],25.018885,10.981115
19,11,[1.565727 1.599426 1.127151 2.338671 1.059751 0.909656 1.320507 0.988528 0.749761 0.500239 3.315488 0.723709 0.961281 1.076721 1.266491],24.499519,11.500481
19,12,[1.147467 1.563576 1.059273 2.645554 0.526291 0.736138 0.848470 1.228728 0.600860 0.660851 4.479685 1.635277 0.873327 1.095841 0.383126],25.329558,10.670442
20,1,[0.990679 1.697897 1.669694 2.541348 1.380019 0.154159 0.949570 1.255258 0.904637 1.317400 3.247371 1.722753 0.339388 1.134082 1.532983],24.556046,11.443954
20,2,[0.772467 1.451721 0.395793 2.370459 1.445268 0.903920 1.522945 1.301386 0.810229 1.262189 3.738050 1.063815 1.686424 0.515057 0.604685],18.888287,17.111713
20,3,[0.519837 1.974904 0.958413 1.973709 1.678298 0.834847 1.435946 1.019359 0.119503 1.565727 3.476577 2.016013 1.084130 1.296367 1.209130],20.476689,15.523311
20,4,[1.509082 1.308795 0.850621 2.431166 1.189532 0.800191 1.133126 1.170172 0.492113 0.883126 4.199570 1.735182 0.517447 0.811185 0.815010],21.401772,14.598228
20,5,[0.865201 1.578872 0.393881 2.357553 1.025813 0.155354 0.641013 1.207935 0.933317 0.610899 3.792304 1.135277 0.938815 1.059034 0.673040],23.807820,12.192180
20,6,[0.971080 1.492591 0.717495 1.665631 0.464866 0.172323 2.239484 1.005736 0.215105 1.244503 3.568117 1.688815 0.862572 1.083652 0.865440],23.700167,12.299833
20,7,[1.707696 2.679732 0.270076 2.850621 0.496654 0.476816 1.184990 0.770793 0.748327 1.720124 4.122849 0.769598 0.573614 0.886233 0.874761],21.821212,14.178788
20,8,[1.159656 1.782505 1.082935 2.472753 0.987572 1.786090 1.016969 1.270076 0.125478 0.401530 3.792304 1.206023 0.526291 0.610182 0.666109],21.757912,14.242088
20,9,[0.208652 1.011950 0.298757 2.503346 0.867352 1.256214 1.728728 1.111138 0.256214 0.625478 3.476577 1.267447 0.817878 1.501912 0.777247],13.839178,22.160822
20,10,[1.166109 1.423279 0.191205 2.271989 0.945746 1.083652 1.874283 0.878107 1.089627 1.071463 3.423279 1.113767 0.398662 0.715583 1.065966],20.959140,15.040860
20,11,[1.681883 1.642686 0.764579 2.623566 0.543977 0.717495 1.688098 1.046606 0.131453 0.249044 3.716300 1.441205 1.244742 0.877629 0.759560],27.684221,8.315779
